Wavenumber (cm-1),Average Transmittance (a.u.)
2521,0.6122
2526,0.60125
2531,0.5916
2536,0.581675
2541,0.570925
2546,0.559575
2551,0.544825
2556,0.53505
2561,0.533625
2566,0.534375
2571,0.54525
2576,0.57605
2581,0.600075
2586,0.60785
2591,0.605625
2596,0.6019
2601,0.5888
2606,0.5848
2611,0.59175
2616,0.60035
2621,0.6034
2626,0.602325
2631,0.5971
2636,0.58695
2641,0.5771
2646,0.566175
2651,0.55775
2656,0.550225
2661,0.543625
2666,0.53915
2671,0.5358
2676,0.5354
2681,0.537875
2686,0.546675
2691,0.56205
2696,0.583925
2701,0.60455
2706,0.631625
2711,0.6347
2716,0.631575
2721,0.624525
2726,0.620925
2731,0.624225
2736,0.631125
2741,0.63495
2746,0.633675
2751,0.628725
2756,0.6224
2761,0.617075
2766,0.6113
2771,0.605375
2776,0.5994
2781,0.593275
2786,0.586125
2791,0.578825
2796,0.57095
2801,0.563025
2806,0.554475
2811,0.545575
2816,0.535725
2821,0.523075
2826,0.508925
2831,0.499075
2836,0.493375
2841,0.49285
2846,0.494575
2851,0.499825
2856,0.50905
2861,0.513325
2866,0.51315
2871,0.510825
2876,0.5049
2881,0.504075
2886,0.50425
2891,0.50735
2896,0.512075
2901,0.51765
2906,0.5236
2911,0.529175
2916,0.532825
2921,0.535375
2926,0.536775
2931,0.536325
2936,0.534675
2941,0.5322
2946,0.528675
2951,0.52555
2956,0.524775
2961,0.525025
2966,0.5254
2971,0.525475
2976,0.5255
2981,0.52545
2986,0.52505
2991,0.524175
2996,0.522925
3001,0.521225
3006,0.5203
3011,0.52045
3016,0.52175
3021,0.52455
3026,0.5295
3031,0.536025
3036,0.5436
3041,0.551875
3046,0.56055
3051,0.5649
3056,0.565125
3061,0.56145
3066,0.546975
3071,0.535625
3076,0.510925
3081,0.5212
3086,0.5845
3091,0.596
3096,0.602325
3101,0.61
3106,0.618375
3111,0.627275
3116,0.6354
3121,0.6429
3126,0.64975
3131,0.65645
3136,0.66285
3141,0.669325
3146,0.675775
3151,0.681875
3156,0.687875
3161,0.694125
3166,0.70055
3171,0.7069
3176,0.7123
3181,0.717725
3186,0.722975
3191,0.7277
3196,0.732575
3201,0.7371
3206,0.7413
3211,0.74555
3216,0.749925
3221,0.7533
3226,0.756325
3231,0.7594
3236,0.76225
3241,0.76515
3246,0.767825
3251,0.77035
3256,0.7728
3261,0.7751
3266,0.777375
3271,0.7797
3276,0.782
3281,0.7843
3286,0.786475
3291,0.7889
3296,0.7911
3301,0.793025
3306,0.794925
3311,0.79665
3316,0.798075
3321,0.79885
3326,0.799675
3331,0.801325
3336,0.8032
3341,0.805125
3346,0.807375
3351,0.80875
3356,0.809225
3361,0.8095
3366,0.809775
3371,0.810225
3376,0.810725
3381,0.811075
3386,0.81145
3391,0.811925
3396,0.8124
3401,0.8126
3406,0.8128
3411,0.8128
3416,0.8128
3421,0.8128
3426,0.8125
3431,0.811975
3436,0.811625
3441,0.8112
3446,0.811025
3451,0.8108
3456,0.8107
3461,0.81035
3466,0.810025
3471,0.80975
3476,0.8089
3481,0.80775
3486,0.80665
3491,0.8057
3496,0.80475
3501,0.8039
3506,0.8034
3511,0.802925
3516,0.802525
3521,0.80215
3526,0.801825
3531,0.8018
3536,0.80165
3541,0.8015
3546,0.80125
3551,0.8011
3556,0.80085
3561,0.80065
3566,0.80005
3571,0.799175
3576,0.798125
3581,0.7969
3586,0.7959
3591,0.795625
3596,0.7976
3601,0.7998
3606,0.799825
3611,0.798975
3616,0.798325
3621,0.79765
3626,0.797
3631,0.796325
3636,0.79595
3641,0.79575
3646,0.795575
3651,0.795225
3656,0.79475
3661,0.79425
3666,0.793625
3671,0.792975
3676,0.7921
3681,0.79125
3686,0.790325
3691,0.789075
3696,0.787675
3701,0.786375
3706,0.7857
3711,0.7856
3716,0.785625
3721,0.786
3726,0.78645
3731,0.786775
3736,0.7868
3741,0.7868
3746,0.786375
3751,0.785775
3756,0.785225
3761,0.78465
3766,0.784125
3771,0.783
3776,0.78185
3781,0.780725
3786,0.7797
3791,0.778775
3796,0.7786
3801,0.77855
3806,0.778425
3811,0.7783
3816,0.778175
